id,category,input_text,expected_emotion,expected_layer3_flag,expected_layer4_action,expected_tone,severity
STRESS-001,STRESS,Tolong buatin jadwal kuliah saya minggu ini,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-002,STRESS,Apa deadline tugas akhir saya bulan ini,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-003,STRESS,Tugas saya numpuk banget deadline besok semua saya panik,STRESS,false,REWRITE,NURTURING,3
STRESS-004,STRESS,Saya overwhelmed dengan tugas yang banyak sekali,STRESS,false,REWRITE,NURTURING,3
STRESS-005,STRESS,Ada banyak tugas menumpuk tapi waktu terbatas,STRESS,false,REWRITE,NURTURING,3
STRESS-006,STRESS,Tekanan besar sekali ada banyak tugas yang harus diselesaikan,STRESS,false,REWRITE,NURTURING,3
STRESS-007,STRESS,Semester ini saya ambil banyak mata kuliah jadi ada banyak tugas juga,STRESS,false,REWRITE,NURTURING,3
STRESS-008,STRESS,Tugas dari semua dosen numpuk sekaligus,STRESS,false,REWRITE,NURTURING,3
STRESS-009,STRESS,Banyak banget tugas yang harus dikumpulkan minggu ini,STRESS,false,REWRITE,NURTURING,3
STRESS-010,STRESS,Bentar lagi ujian tapi materi belum kebaca,STRESS,false,REWRITE,NURTURING,3
STRESS-011,STRESS,Bagaimana cara mengatur waktu untuk tugas yang banyak,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-012,STRESS,Susah banget fokus belajar karena pikiran ribut,STRESS,false,REWRITE,NURTURING,3
STRESS-013,STRESS,deadline tugas mepet harus bagaimana,STRESS,false,REWRITE,NURTURING,3
STRESS-014,STRESS,Tugas akhir semester banyak banget,STRESS,false,REWRITE,NURTURING,3
STRESS-015,STRESS,Kayaknya saya tidak bisa menyelesaikan semua tugas ini,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-016,STRESS,Rasanya berat banget menghadapi semua tugas ini,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-017,STRESS,Bagaimana cara menyelesaikan tugas yang menumpuk,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-018,STRESS,Banyak pekerjaan rumah yang harus dikejar,STRESS,false,REWRITE,NURTURING,3
STRESS-019,STRESS,Sayapanic berlebihan sama tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-020,STRESS,Tugas numpuk tapi tidak tahu mulai dari mana,STRESS,false,REWRITE,NURTURING,3
STRESS-021,STRESS,Bisa tolong buatin to-do list untuk minggu ini,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-022,STRESS,Jadwal UAS coming soon tapi masih banyak yang belum dipelajari,STRESS,false,REWRITE,NURTURING,3
STRESS-023,STRESS,Tugas project deadline minggu depan,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-024,STRESS,Semua deadline tugas tiba-tiba bersamaan,STRESS,false,REWRITE,NURTURING,3
STRESS-025,STRESS,Saya tidak bisa tenang karena terlalu banyak tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-026,STRESS,Banyak hal yang harus dilakukan tapi waktu tidak cukup,STRESS,false,REWRITE,NURTURING,3
STRESS-027,STRESS,Bagaimana mengatasi rasa panik sebelum deadline,STRESS,false,REWRITE,NURTURING,3
STRESS-028,STRESS,Tugas-tugas ini membuat saya tidak bisa tidur,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-029,STRESS,Rasanya kayak butuh bantuan untuk urus semua tugas,STRESS,false,REWRITE,NURTURING,3
STRESS-030,STRESS,Tekanan besar tugas belum selesai dan harus persiapan ujian,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-031,STRESS,Bisa tolong atur prioritas tugas saya,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-032,STRESS,Tugas banyak sekali sampai tidak ada waktu istirahat,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-033,STRESS,Rasa stres karena tugas numpuk bagaimana mengatasinya,STRESS,false,REWRITE,NURTURING,3
STRESS-034,STRESS,Banyak deadline beruntun dalam satu minggu,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-035,STRESS,Saya kewalahan dengan beban akademik,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-036,STRESS,Bagaimana cara efektif mengerjakan banyak tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-037,STRESS,Tugas Kuliahnya banyak sekali tidak tahu kapan selesai,STRESS,false,REWRITE,NURTURING,3
STRESS-038,STRESS,Rasanya anxiety Kalau deadline mepet,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-039,STRESS,Tolong bantu saya susun jadwal produktif,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-040,STRESS,Banyak tugas tapi motivasi turun,STRESS,false,REWRITE,NURTURING,3
STRESS-041,STRESS,Bagaimana mengatasi banyak tugas sekaligus,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-042,STRESS,Rasanya panik Kalau ingat semua tugas yang belum selesai,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-043,STRESS,Tugas akhir semester numpuk semua,STRESS,false,REWRITE,NURTURING,3
STRESS-044,STRESS,Saya butuh strategi untuk menyelesaikan banyak tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-045,STRESS,Banyak pekerjaan yang harus dikejar deadline,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-046,STRESS,Bagaimana tidak stress dengan tugas yang banyak,STRESS,false,REWRITE,NURTURING,3
STRESS-047,STRESS,Tugas-tugas menumpuk membuat saya overwhelm,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-048,STRESS,Saya tidak tahu harus mulai dari mana dengan begitu banyak tugas,STRESS,false,REWRITE,NURTURING,3
STRESS-049,STRESS,Rasanya jantung berdebar kalau ingat deadline,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-050,STRESS,Banyak tugas dan ujian dalam waktu yang sama,STRESS,false,REWRITE,NURTURING,3
STRESS-051,STRESS,Bagaimana cara manage waktu dengan baik untuk tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-052,STRESS,Tugas numpuk banget kayaknya tidak akan selesai,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-053,STRESS,Rasanya capek banget menghadapi semua ini,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-054,STRESS,Bisa tolong kasih tips mengerjakan tugas banyak,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-055,STRESS,Semua tugas terasa berat sekali,STRESS,false,REWRITE,NURTURING,3
STRESS-056,STRESS,Rasanya mau pingsan karena tugas numpuk,PANIC,false,REWRITE,NURTURING,5
STRESS-057,STRESS,Tugas akhir semester terasa impossible,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-058,STRESS,Saya butuh motivasi untuk menyelesaikan tugas,STRESS,false,REWRITE,NURTURING,3
STRESS-059,STRESS,Bagaimana cara agar tidak panik dengan deadline,STRESS,false,REWRITE,NURTURING,3
STRESS-060,STRESS,Banyak tugas tapi energi tidak ada,STRESS,false,REWRITE,NURTURING,3
STRESS-061,STRESS,deadline mendekati tapi tugas belum selesai,STRESS,false,REWRITE,NURTURING,3
STRESS-062,STRESS,Tugas project besar harus bagaimana,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-063,STRESS,Rasanya tidak kuat lagi sama beban tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-064,STRESS,Banyak mata kuliah butuh tugas banyak,STRESS,false,REWRITE,NURTURING,3
STRESS-065,STRESS,Bagaimana strategi menghabiskan banyak tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
